calories,carb,fat,name,protein,sugar,type
167,25.1,6.6,Bulgur with Apricots and Almonds,4.6,3.4,Pasta
217,22.6,11.4,Acini de Pepe with Spinach and Feta,7.3,0.8,Pasta
257,26.6,13.7,Bacon and Swiss Chard Pasta,7.6,1.2,Pasta
93,8.8,5.0,Creamy Cheese Tortellini with Asparagus,3.7,1.0,Pasta
51,3.7,3.8,Asparagus Vichyssoise with Mint,1.4,1.3,Pasta
206,20.3,10.1,Peas and Chickpea Bow Pasta,9.5,4.4,Pasta
104,19.3,1.7,Vegan Oven Baked Mexican Quinoa Casserole,4.3,2.3,Pasta
252,39.4,6.8,Low Cal Fettuccine Alfredo,11.3,1.9,Pasta
240,34.1,8.7,Kohlrabi Spinach and Egg Noodles,7.2,1.9,Pasta
177,25.4,3.8,Chicken Pad Thai,9.7,3.3,Pasta
95,10.2,5.3,Haluski,2.5,2.5,Pasta
371,44.0,19.1,Vegan Spicy Creamy Kale Pasta,10.1,2.5,Pasta
115,12.7,2.8,Skinny Cheeseburger Casserole,10.2,2.7,Pasta
101,5.0,6.2,Cauliflower Noodle Spinach Lasagna,6.6,2.4,Pasta
191,21.4,9.9,Cashew ‘Ricotta’ and Spinach Stuffed Shells Servings,6.9,3.9,Pasta
270,37.2,7.5,Homemade Egg Pasta,11.8,0.3,Pasta
151,17.5,6.8,Pasta with smashed raw tomatoes peach & mozzarella,5.9,3.2,Pasta
66,3.4,3.8,Zucchini Noodles with Meat and Mushroom Tomato Sauce,5.3,2.2,Pasta
131,19.1,4.9,Skillet Pasta with Sun Dried Tomatoes Walnuts and Feta,5.6,1.4,Pasta
272,18.5,20.3,Pesto Pasta Salad,6.3,1.2,Pasta
172,23.5,4.6,Linguine with Garlicky Clams and Peas,9.4,0.8,Pasta
217,30.2,7.4,Lemon Zest Shrimp Over Spaghetti,9.1,1.0,Pasta
130,28.2,0.5,Veggie Spaghetti with Potato Sauce,5.2,1.4,Pasta
94,11.9,3.5,Penne Primavera,4.3,0.6,Pasta
183,31.0,4.0,Vegetarian White Bean Alfredo with Linguine,7.9,1.2,Pasta
46,4.1,1.6,Lasagna Bella,4.6,2.7,Pasta
404,59.2,13.6,Winter Herb Pasta,10.7,2.9,Pasta
111,16.6,3.1,Carrot Orzo,3.7,0.8,Pasta
94,8.4,6.1,Creamy Ramen Noodles,1.7,0.7,Pasta
82,6.4,3.4,Turkey and Spinach Lasagna Rolls,6.9,1.6,Pasta
210,29.1,8.7,Peanut Noodles With Napa Cabbage,7.6,3.1,Pasta
136,13.9,4.8,One Pot Pasta Bolognese,9.5,2.5,Pasta
242,23.2,14.6,Buttered Egg Noodles,4.9,0.8,Pasta
188,25.5,7.6,Fried Cabbage and Egg Noodles,5.2,2.6,Pasta
176,29.6,4.1,Pasta With Fresh Tomato Sauce and Ricotta,7.9,1.7,Pasta
142,16.0,6.9,Pappardelle with Squash Mushrooms and Spinach,5.3,1.6,Pasta
89,12.2,1.7,Creamy Garlic Pasta with Shrimp and Vegetables,6.5,3.0,Pasta
478,54.9,24.3,Spaghetti with olive oil and garlic sauce,9.6,2.0,Pasta
184,28.3,5.9,Butternut Squash Mac Cheese,7.0,4.1,Pasta
360,48.1,14.1,Herbed Quinoa,10.6,0.4,Pasta
215,24.7,8.5,Faux Stroganoff,9.4,1.0,Pasta
181,16.3,6.9,Chicken Mozzarella Pasta with Sun Dried Tomatoes,14.1,4.5,Pasta
157,24.5,4.8,Five Ingredient Pasta Toss,5.9,1.4,Pasta
215,16.2,13.6,Gnocchi Sausage andTomatoes,6.8,0.4,Pasta
196,32.3,4.5,Pasta with Creamy Spinach and Mushroom Sauce,7.0,1.0,Pasta
197,22.9,9.1,Pasta with Tomatoes and Mozzarella,7.8,1.5,Pasta
288,34.3,11.8,Carbonara,10.9,1.9,Pasta
139,23.9,3.1,Pasta with Baby Broccoli and Beans,6.3,1.2,Pasta
189,23.9,5.9,Bang Bang Shrimp Pasta,9.6,1.4,Pasta
235,18.6,12.1,Greek Style Ravioli,12.7,0.8,Pasta
141,6.9,8.1,Fettuccine with Sausage and Kale,10.4,0.6,Pasta
124,15.6,5.3,Cheese Rosti,4.2,0.8,Pasta
163,20.1,4.7,Spaghetti with Meat Sauce,9.3,3.1,Pasta
256,31.6,11.9,Garden style pasta,8.3,1.6,Pasta
163,25.2,6.1,Korean Style Noodles with Vegetables,2.7,6.2,Pasta
196,20.1,11.6,Broccoli & Feta Pasta Salad,4.9,1.2,Pasta
163,27.4,4.6,Tomato Basil Pasta,5.6,1.4,Pasta
99,13.2,2.6,One Pot Chicken Pot Pie Fettuccine,5.3,1.9,Pasta
204,23.0,9.3,Linguine with Red Bell Peppers and Kalamata Olives,9.0,1.9,Pasta
221,28.1,9.4,Fettuccine with Prosciutto Tomatoes and Cream,8.5,1.4,Pasta
181,23.4,5.8,Spinach and Feta Penne Bake,9.7,0.7,Pasta
159,11.7,9.1,Beef and Mushroom Stroganoff,7.5,1.0,Pasta
232,13.6,19.3,Gnocchi with Mushrooms and Butter,2.9,0.8,Pasta
160,23.7,4.4,Greek Chicken Pasta,8.3,0.9,Pasta
131,15.4,6.3,Portobello Mushroom Stroganoff,3.7,1.3,Pasta
82,2.5,4.9,Skinny Pesto and Chicken Noodles,7.2,1.6,Pasta
213,21.7,10.0,Broccoli and Bacon Mac and Cheese,10.1,1.7,Pasta
152,15.8,4.6,Skinny Cajun Shrimp Alfredo Pasta,11.3,1.8,Pasta
75,5.6,3.7,Eggplant Lasagna Rolls,5.5,2.7,Pasta
154,23.7,5.7,Vegetarian Fajita Pasta,3.7,0.8,Pasta
47,4.4,2.7,Parmesan Pasta,1.4,0.0,Pasta
97,10.0,1.4,Cottage Cheese Tuna Pasta,11.2,2.5,Pasta
257,30.0,11.6,Tagliatelle with Spinach Mascarpone and Parmesan,8.7,1.1,Pasta
227,23.0,13.8,Sticky Garlic Noodles,3.6,7.1,Pasta
233,15.7,13.7,Garlic Basil Chicken with Tomato Butter Sauce,11.6,1.2,Pasta
69,9.9,2.3,One Pot Pasta Primavera,3.0,1.4,Pasta
248,32.4,10.7,Spaghetti with Spinach Avocado Sauce,6.8,1.6,Pasta
207,31.1,5.1,Skinny Fettuccine Alfredo,8.8,2.2,Pasta
297,45.4,10.9,Orecchiette with Peas Pine Nuts and Ricotta,6.5,1.7,Pasta
140,8.4,7.0,Creamy Chicken Pasta,10.7,0.8,Pasta
216,21.7,10.3,Spinach and Tomato Farfalle,9.1,0.9,Pasta
114,7.6,6.5,Beef Taco Noodle casserole,6.4,1.1,Pasta
61,3.9,2.6,Lamb Stir Fry with Zucchini Noodles,6.0,1.9,Pasta
58,10.4,1.4,Vegan Tomato Onion and Garlic Pasta,2.1,1.8,Pasta
130,24.4,2.9,Sundried Tomato and Mushroom Pasta,3.4,4.7,Pasta
118,9.7,7.4,Bacon Corn Pasta,3.7,2.4,Pasta
269,14.7,16.6,Breakfast Mac and Cheese,15.3,1.7,Pasta
267,35.4,11.5,Tortellini Pasta Salad,6.8,1.3,Pasta
103,10.8,4.2,Chicken Sausage and Peppers Macaroni Casserole,5.6,2.4,Pasta
151,22.9,4.0,Lightened Up Penne alla Vodka,4.6,3.0,Pasta
186,16.6,9.5,Spicy Chicken Rigatoni,8.5,1.1,Pasta
138,18.6,4.8,Mushroom Ragu w Fettuccine,4.5,0.9,Pasta
71,3.3,4.3,Asparagus Noodle Carbonara,5.7,1.5,Pasta
150,16.7,6.8,Lemon Orzo Goat Cheese Salad,5.9,1.7,Pasta
185,25.5,6.6,Shrimp Leek and Spinach Pasta,7.0,0.8,Pasta
287,34.8,12.7,Peanut Noodles,9.9,3.9,Pasta
142,8.3,8.7,Chicken Lo Mein,7.8,2.4,Pasta
437,67.3,16.9,Super Simple Pasta,6.3,0.0,Pasta
151,17.9,5.1,Tortellini Southwest,8.3,3.2,Pasta
289,40.2,11.2,Spaghetti with Sun Dried Tomatoes & Spinach,10.7,3.8,Pasta
