calories,carb,fat,name,protein,sugar,type
318,34.8,20.3,Dark Chocolate and Lime Souffles,5.1,17.2,Main dishes
88,13.2,3.1,Old Fashioned Potato Salad,2.3,1.6,Main dishes
109,7.7,8.4,Snap Pea and Cabbage Slaw,2.0,2.5,Main dishes
75,9.1,3.4,Jasmine Rice with Peanuts and Scallions,2.7,0.5,Main dishes
108,9.6,8.2,Roasted Acorn Squash with Chile Vinaigrette,0.8,0.2,Main dishes
190,20.3,11.7,Mandarin Orange Napoleons,2.2,15.6,Main dishes
99,16.8,3.8,Maple Orange Glazed Carrots,0.8,11.9,Main dishes
74,15.8,0.7,Roasted New Potatoes,1.9,1.3,Main dishes
192,3.1,19.5,Asparagus with Hollandaise Sauce Recipe,2.9,1.4,Main dishes
102,13.7,3.5,Potato Dumplings II,4.4,0.7,Main dishes
112,10.7,6.4,Mama s Best Broiled Tomato Sandwich,3.4,3.4,Main dishes
106,3.2,10.4,Rich and Creamy Tomato Basil Soup,1.0,2.4,Main dishes
55,5.1,3.5,Carrot Ginger Creme,1.0,2.7,Main dishes
102,7.4,7.4,Seared Sugar Snap Peas,2.3,3.4,Main dishes
36,4.0,2.2,Basic tomato gazpacho,0.8,2.5,Main dishes
99,5.3,7.5,Baked Parmesan Asparagus,3.9,1.6,Main dishes
168,15.0,10.5,Roasted Cauliflower with Red Pepper Hummus,4.9,3.2,Main dishes
47,5.7,2.2,Creamy Cauliflower Mash with Spinach,2.4,2.2,Main dishes
468,52.2,28.6,Curried Popcorn,6.3,16.8,Main dishes
99,17.4,3.3,Roast Parsnips,1.2,4.7,Main dishes
113,17.2,3.6,Garlic Parmesan Fries,3.8,0.6,Main dishes
282,35.4,16.5,nute No cook Chocolate Pudding,2.6,26.5,Main dishes
216,16.8,15.8,Raw Kale Salad with Balsamic,4.9,10.5,Main dishes
126,9.8,4.5,Citrus Tilapia,13.1,5.7,Main dishes
118,13.5,5.6,Indian Spiced Roasted Chickpeas,4.8,0.0,Main dishes
400,44.0,23.4,Mug Brownie,4.2,20.2,Main dishes
58,5.3,3.5,Creamed Spinach,2.9,0.6,Main dishes
100,9.2,3.7,Soy Wasabi Spread on Toast,8.4,2.0,Main dishes
68,12.2,0.5,Yogurt Berry Protein Shake,4.5,9.2,Main dishes
214,39.2,2.2,Baked Egg Rolls,8.5,0.8,Main dishes
321,67.2,6.3,Chocolate Granola,8.8,16.1,Main dishes
17,3.5,0.1,Tropical Fruit Smoothie,1.0,2.7,Main dishes
319,20.8,21.1,Cheddar Mac & Cheese,13.4,0.4,Main dishes
77,7.2,4.4,Ham and Potato Soup,2.6,1.6,Main dishes
81,8.2,4.6,Banana Coconut Green Smoothie,2.7,4.2,Main dishes
84,10.7,0.8,Sweet Cottage Cheese & Blue Berries,8.9,9.6,Main dishes
68,4.7,0.9,Cottage Cheese & Raspberries,10.0,3.1,Main dishes
149,6.2,13.1,Tumeric Almond Vegan Cheeze,3.9,1.5,Main dishes
41,5.2,2.2,Cauliflower Rice,1.7,1.8,Main dishes
67,3.7,5.7,Turkish Style Salad,0.7,2.0,Main dishes
66,6.6,4.3,Green Beans with Tomato Garlic and Pine Nuts,2.0,3.0,Main dishes
97,3.8,7.1,Cucumbers with Feta Basil and Cilantro,5.2,2.4,Main dishes
148,8.0,12.7,Brussel Sprouts in Duck Fat,2.9,1.9,Main dishes
86,10.3,2.1,Yogurt with Blueberries Sunflower Seeds and Honey,7.5,8.3,Main dishes
90,11.7,3.8,Red Potato Salad,2.8,1.2,Main dishes
251,34.9,11.2,Banana Bread with Almond Butter and Honey,5.6,17.8,Main dishes
68,16.4,0.5,Very Berry Ice Cream,0.9,11.1,Main dishes
53,13.6,0.2,Mango Pineapple Smoothie,0.7,10.5,Main dishes
188,5.1,17.5,Arugula Salad,4.6,2.1,Main dishes
42,3.9,2.4,Spicy Sauteed Spinach,2.9,0.5,Main dishes
144,7.9,12.8,Orange Fennel and Avocado Salad,1.2,3.7,Main dishes
20,3.4,0.4,Very Green Salad,1.8,1.1,Main dishes
44,3.5,0.4,Traditional Indian Raita,6.8,2.6,Main dishes
160,15.7,8.4,Lentil and Walnut Salad,7.1,1.3,Main dishes
170,23.6,5.9,Lime Splashed Chickpea Salad,7.2,4.2,Main dishes
94,9.1,5.1,Edamame Slaw,4.5,3.7,Main dishes
176,15.4,7.4,Tofu Dengaku,12.8,7.7,Main dishes
105,16.8,2.1,White Bean & Artichoke Toast,5.6,0.8,Main dishes
72,7.3,4.1,Sesame Broccoli,3.5,1.6,Main dishes
237,9.7,21.6,Chocolate Chia Seed Pudding,4.1,0.1,Main dishes
288,3.8,26.5,Bacon Wrapped Jalapeno Poppers,9.2,2.5,Main dishes
