calories,carb,fat,name,protein,sugar,type
244,32.3,9.3,Tiramisu,7.8,8.6,Desserts
57,11.4,0.7,Cinnamon Apples with Yogurt,2.3,9.0,Desserts
206,8.1,19.9,Vegan Coconut Lemon Mousse,1.9,5.3,Desserts
296,45.5,12.2,Vegan Chocolate Cupcakes,2.8,21.6,Desserts
298,33.5,18.1,Coconut Ice Cream,2.0,28.5,Desserts
227,17.3,18.9,Whipped Coconut Cream with Berries,1.9,12.0,Desserts
91,14.4,0.1,Strawberries in Red Wine,0.3,11.9,Desserts
153,15.8,10.5,Almond Avocado Pudding,2.0,10.6,Desserts
184,14.0,12.6,Tomato Goat Cheese and Onion Tart,4.2,1.8,Desserts
186,33.6,5.1,Vegan Cookies,4.5,14.0,Desserts
310,20.0,24.8,Pumpkin Cheesecake,3.2,11.8,Desserts
431,54.4,22.6,No Bake Cookie Dough Energy Bites,11.0,17.3,Desserts
165,17.5,7.2,Black Bean Brownie,8.4,0.8,Desserts
221,2.9,18.7,Mushroom Quiche,10.8,1.6,Desserts
153,27.9,3.4,Caramel Apple Milkshake,3.3,16.7,Desserts
349,33.4,23.4,Chocolate Mug Cake,5.2,13.6,Desserts
122,12.9,5.9,Pineapple Blueberry Bran Parfait,5.2,4.3,Desserts
263,40.7,10.5,Vegan Gluten Free Funfetti Muffins,5.8,18.0,Desserts
402,6.5,31.5,Best Pancakes,23.7,1.0,Desserts
116,5.9,4.7,Cottage Cheese Ice Cream,13.0,4.2,Desserts
424,45.9,17.8,Peanut Butter Protein Balls,26.6,35.4,Desserts
215,28.2,9.7,Breakfast Cookies,7.0,6.4,Desserts
439,82.4,12.2,Palmiers,2.3,68.1,Desserts
466,50.2,26.8,gredient Peanut Butter Cookies,12.5,44.1,Desserts
77,7.2,1.7,Protein Fluff,8.5,3.8,Desserts
219,41.7,1.8,Easy Rice Pudding,4.0,13.4,Desserts
55,8.8,2.4,Pear and Greens Juice,0.9,4.9,Desserts
288,36.0,9.9,Chocolate Peanut Butter Protein Muffins,15.4,18.9,Desserts
440,55.9,23.4,Apricot Vanilla Cashew Bars,9.3,11.5,Desserts
452,26.6,36.3,No Bake Apple Cookies,13.4,16.3,Desserts
475,62.6,27.4,S more Cups,3.3,47.0,Desserts
305,34.3,16.1,Lemon Brownies,6.2,16.9,Desserts
259,4.8,21.2,Leek Quiche,12.6,1.7,Desserts
