calories,carb,fat,name,protein,sugar,type
37,3.0,1.5,Spicy Cucumber Avocado Soup,3.4,1.5,Soups
111,11.4,7.0,Aloo Phujia,1.5,1.7,Soups
90,6.5,6.2,Savory Mushroom Soup,2.5,2.6,Soups
49,5.6,1.6,Hot ‘N’ Sour Mushroom & Noodle Soup,1.3,0.6,Soups
55,9.2,0.8,Black Bean and Salsa Soup,3.1,1.0,Soups
34,6.0,0.4,Cabbage Patch Soup,1.6,1.2,Soups
104,7.9,6.5,Easy Thai Shrimp Soup,4.1,0.4,Soups
46,8.4,0.9,Pasta Fagioli,1.6,0.4,Soups
87,10.8,3.8,Curried Lentil Soup,3.7,0.7,Soups
74,7.3,2.7,Beef Chili with Beans,5.7,1.5,Soups
46,9.0,0.2,Leek Potato and Lentil soup,2.5,0.4,Soups
30,5.4,0.2,Pesto Pea Soup,2.0,2.1,Soups
30,4.4,1.3,Curried Carrot Soup,0.8,1.9,Soups
60,10.7,0.7,Vegan Black Bean Soup,3.5,1.2,Soups
47,9.1,0.8,Easy Chinese Corn Soup,1.8,1.7,Soups
79,11.8,2.5,Sausage and Potatoes,2.5,0.6,Soups
199,20.1,12.1,Pine Nut and Basil Rice,3.4,0.5,Soups
177,36.7,2.2,Gluten Free Squash Stew,5.4,6.4,Soups
42,5.1,2.4,Peach and Tomato Gazpacho,0.8,3.8,Soups
48,6.5,1.3,Beef and vegetable soup,3.0,1.0,Soups
39,7.9,0.8,Sweet Potato Kale & Corn Chowder,1.2,1.4,Soups
59,9.8,1.0,Lemony Lentil and Greens Soup,3.3,0.8,Soups
97,2.0,4.6,Low Carb Crockpot Mexican Chicken Soup,11.7,1.2,Soups
131,2.4,12.2,Roasted Cauliflower and Cheddar Soup,3.7,1.3,Soups
35,6.8,0.3,Mushroom Millet Soup,1.4,1.1,Soups
49,10.2,0.4,Vegan Samosa Soup,1.4,0.8,Soups
108,2.9,8.4,Low Carb Brazilian Shrimp Stew,5.5,0.2,Soups
60,9.2,0.7,Vegan Wedding Soup,3.9,0.4,Soups
72,13.5,0.9,Vegan Hominy Chili,3.1,2.1,Soups
65,0.9,4.6,Low Carb Beef Zoodle Soup,5.0,0.5,Soups
92,1.7,8.1,Zuppa Toscana Soup,3.4,0.6,Soups
54,5.8,2.8,Cream of Broccoli and Cashew Soup,2.4,1.6,Soups
108,7.0,7.3,Spinach Bisque,4.1,2.8,Soups
15,2.8,0.2,Cabbage And Tomato Soup,0.9,1.6,Soups
71,9.8,2.0,Shrimp and Hotroot Soup,3.7,1.9,Soups
92,6.6,7.3,Simple Carrot Soup,1.5,2.7,Soups
38,7.6,0.1,Vegan Leek Potato and Lentil soup,1.9,0.4,Soups
92,12.5,2.6,Garden Vegetable Lasagna Soup,4.6,1.4,Soups
85,13.9,1.5,Black Bean Chili with Paprika Yogurt and Zucchini Ribbons,4.7,3.1,Soups
66,8.8,2.3,Red Lentil Soup with Lemon and Honey,2.9,1.9,Soups
52,5.0,1.6,Heavenly Chicken Tortilla Soup,4.7,1.4,Soups
15,2.8,0.1,Asparagus Pur e Soup,1.4,1.0,Soups
28,5.1,0.3,Potato Leek Soup,1.4,0.6,Soups
44,3.6,1.3,Italian Wedding Soup,4.5,0.7,Soups
75,4.3,4.8,Italian Polpetti Soup with Pasta,3.8,1.0,Soups
126,5.8,9.7,Zuppa Toscana,4.0,0.8,Soups
36,6.2,1.0,Carrot Ginger Soup,1.0,2.2,Soups
31,1.2,1.6,Chicken No Noodle Soup,2.9,0.7,Soups
62,6.7,1.5,Chicken Pot Pie Soup,5.3,0.6,Soups
57,9.2,1.4,Potato Leek Soup,2.3,2.1,Soups
28,5.9,0.6,Chilled Melon Cucumber and Mint Soup,0.5,4.4,Soups
99,5.7,5.8,nute Chili,6.0,1.5,Soups
74,7.0,4.0,Bacon Potato Soup,2.9,0.7,Soups
84,9.3,4.1,Mashed Potato Soup,2.7,3.5,Soups
45,7.8,1.3,Jerusalem Artichoke Soup,1.2,4.2,Soups
107,4.5,9.6,Curry Pumpkin Soup,1.1,1.8,Soups
103,6.0,5.9,nute Chili,6.2,1.7,Soups
100,16.3,2.6,Vegan Peanut Sauce Noodles,3.0,2.3,Soups
142,7.1,7.8,Chicken Wild Rice Soup,10.8,0.7,Soups
152,1.4,13.0,Jalapeno Popper Soup,7.5,0.8,Soups
34,6.9,0.1,Ginger Garlic Noodle Soup with Bok Choy,1.7,0.5,Soups
72,10.5,0.5,Chicken and Lentil Soup,6.6,0.6,Soups
94,9.5,4.5,Garlic Soup with Poached Eggs,4.0,1.1,Soups
50,8.8,0.7,Lemon Kale and Bean Stew,2.8,0.3,Soups
107,7.7,4.1,Chicken soup a la Greque,10.0,1.0,Soups
42,6.6,1.3,White Bean and Kale Soup,2.2,0.2,Soups
37,2.6,1.7,Tofu Cabbage Soup,3.1,1.0,Soups
128,6.3,11.6,Detox Broccoli Soup,2.6,2.5,Soups
154,17.8,5.6,Chorizo Sweet Potato Chili,8.7,2.3,Soups
23,2.2,0.8,Miso Soup,2.1,0.4,Soups
44,6.2,1.5,Simple Cauliflower Soup,2.0,2.1,Soups
80,8.5,3.4,Turkey Chili,5.2,2.3,Soups
136,11.4,8.6,Vegan Peanut Stew,5.8,2.9,Soups
52,6.7,2.5,Rainy Day Vegan Tomato Soup,1.9,4.0,Soups
45,9.7,0.3,Easy Vegetable Soup,1.9,0.4,Soups
