calories,carb,fat,name,protein,sugar,type
153,4.3,10.5,Zucchini Melon Salad,11.0,2.9,Salads
111,11.3,7.0,Currant Avocado Salad with Almond Balsamic Vinaigrette,2.9,4.6,Salads
38,2.9,0.5,Cottage Cheese Salad,5.3,2.3,Salads
38,4.5,2.1,Winter White Salad,1.4,1.7,Salads
53,7.7,2.4,Roasted Garlic Green Beans,1.9,3.1,Salads
58,7.3,3.1,Cold Green Bean Salad,0.8,4.7,Salads
61,5.1,4.4,Mixed Greens with Sliced Cucumber and Avocado,1.1,1.0,Salads
87,9.1,5.4,Asian Pear and Frise Salad,0.9,4.9,Salads
176,6.6,15.4,Strawberry and Arugula Salad with Hazelnut Dressing,4.6,3.7,Salads
107,7.5,5.1,Apple Salad,8.8,4.9,Salads
52,8.5,1.0,Meditteranean Salad,2.8,1.4,Salads
85,13.4,3.6,Waldorf ish Salad,1.6,8.7,Salads
81,4.5,4.4,Zesty Lime Shrimp Avocado Salad,6.8,1.2,Salads
19,3.2,0.1,Cucumber Salad,0.6,1.5,Salads
256,18.8,17.7,Tomato Peach and Goat Cheese Salad,8.6,4.4,Salads
134,5.8,9.4,Bulgar Salad with Grilled Chicken and Parsley Pesto,7.4,1.6,Salads
176,3.0,8.5,Tarragon and Dijon Chicken Salad,20.8,0.9,Salads
86,11.3,2.3,Chickpea Walnut & Cucumber Yogurt,6.2,4.6,Salads
123,7.3,8.4,Tofu and Veggies in Peanut Sauce,6.3,4.4,Salads
93,6.6,6.5,Warm Bacon Keto Broccoli Salad,4.1,1.8,Salads
208,6.2,19.6,Arugula and Avocado Salad With Shaved Parmesan,4.3,1.1,Salads
123,19.9,2.8,Chickpea Quinoa Salad,5.2,1.2,Salads
175,3.3,15.4,Caprese Salad,6.6,1.8,Salads
47,2.2,3.0,Cucumbers and Egg Salad,2.9,1.2,Salads
134,4.0,8.3,Chicken and avocado salad,11.5,0.5,Salads
330,20.8,28.5,Saut ed Cabbage,0.7,19.5,Salads
128,7.6,11.3,Lemon Avocado Salad,1.7,1.2,Salads
80,10.5,4.3,Classic Glazed Carrots,0.9,6.7,Salads
41,5.8,1.9,Lebanese White Cabbage Salad,1.2,3.1,Salads
168,30.9,3.3,Rice Noodle Salad With Mango,4.0,4.0,Salads
99,16.3,3.2,Potato salad,1.8,2.2,Salads
65,2.7,5.7,Lettuce Cucumber Walnut Salad,1.5,1.2,Salads
60,8.1,3.0,Sweet Creamy Coleslaw,1.1,4.8,Salads
104,3.1,3.7,Curry Tuna Salad,15.0,1.8,Salads
155,3.5,13.5,Farmers Market Salad with Aged Gouda and Roasted Portabellas,6.2,1.6,Salads
193,12.6,14.6,Cranberry and Pumpkin Seed Spinach Salad,5.7,8.3,Salads
55,6.7,2.1,Sushi Salad,1.5,1.1,Salads
66,4.9,4.1,Asian Tofu Salad,3.5,3.1,Salads
74,5.9,5.9,Avocado and Veggie Salad,1.3,1.6,Salads
114,11.3,5.3,Tuna and Avocado Salad,6.5,1.7,Salads
89,14.4,2.3,Two Bean Salad,3.6,1.7,Salads
89,6.8,6.6,Avocado Coleslaw,1.6,0.2,Salads
71,13.1,1.0,Spinach & Chickpea Salad with Lemon Fig Dressing,4.2,4.1,Salads
90,11.7,3.5,Lemony Green Beans and Peas,4.0,4.0,Salads
82,7.2,5.8,Green Beans with Lemon and Pine Nuts,2.4,3.2,Salads
46,3.3,3.6,Sauteed Zucchini Ribbons,1.2,2.4,Salads
120,13.5,6.2,Avocado & White Bean Salad,4.1,1.0,Salads
70,6.8,4.9,Ole Salad,1.4,2.1,Salads
111,3.5,5.1,Protein Salad,13.6,1.5,Salads
166,7.3,14.0,Shaved brussels sprouts salad,5.2,1.9,Salads
115,11.1,7.7,Orange and Pomegranate Salad,2.5,7.3,Salads
54,5.3,3.4,Sprout Salad,1.8,1.6,Salads
56,4.0,4.5,Saut ed Cherry Tomatoes with Garlic and Basil,0.9,2.5,Salads
22,4.7,0.2,Beetroot Salad,0.9,3.0,Salads
141,17.8,6.8,Roasted Vegetable & Quinoa Harvest Bowls,3.8,4.5,Salads
142,17.9,5.7,Quick White Bean Salad,6.2,2.3,Salads
66,4.6,5.4,Israeli Salad Recipe,0.8,2.8,Salads
81,6.1,6.3,Tofu tomatoes and avocado salad,1.8,2.1,Salads
100,9.0,7.1,Herb roasted carrots with mustard,1.0,4.3,Salads
173,5.1,13.4,Spinach Salad With Warm Onions and Crispy Salami,8.4,3.4,Salads
146,8.7,12.4,Avocado Salad with Croutons,1.9,1.8,Salads
79,6.3,5.3,Watermelon Arugula and Feta Salad,2.4,4.9,Salads
21,4.3,0.2,Deli Cucumber Salad,0.6,3.0,Salads
69,3.8,6.0,Spring Radish Salad,0.9,1.7,Salads
60,4.8,2.6,Green Bean Healthy Tuna Salad,5.3,2.1,Salads
151,4.3,8.4,Crab Cakes,14.3,0.7,Salads
33,4.3,1.4,Spring Salad with Buttermilk Herb Dressing,1.8,2.2,Salads
105,2.5,7.0,Egg and Lettuce Salad,7.3,0.5,Salads
78,3.7,4.8,Chicken Philly Salad,5.4,1.9,Salads
65,9.1,3.0,Garlic Balsamic Green Beans,2.1,3.5,Salads
154,8.2,12.9,Green Beans with Crushed Almonds,4.3,3.2,Salads
74,6.6,2.3,Power Chicken Hummus Bowl,9.3,0.5,Salads
23,3.3,1.0,Grilled Romaine with Lemon,1.2,1.2,Salads
101,8.1,7.9,Sundried Tomato and Avocado Chopped Salad,1.6,1.3,Salads
68,7.9,4.4,Easy Cucumber Lemon Salad,1.1,2.3,Salads
153,13.7,10.1,Easy Asian Quinoa Slaw,3.3,3.9,Salads
84,6.9,6.3,Simple Mixed Greens Salad,1.7,2.1,Salads
56,2.2,4.2,Caesar Salad with Homemade Dressing,2.7,0.7,Salads
199,14.8,15.0,Citrus Spinach Salad,4.3,9.7,Salads
108,13.1,5.8,Blueberry Pomegranate Dressing,2.5,8.5,Salads
219,7.6,18.8,King Crab Salad,7.2,3.8,Salads
150,25.9,2.5,Spicy Southwestern Salad with Avocado Dressing,7.6,3.0,Salads
108,20.1,2.4,Lemony Fusilli with Chickpeas Raisins and Spinach,4.4,4.8,Salads
105,3.3,5.9,Skinny Egg Salad,9.3,2.0,Salads
113,9.5,7.6,Shrimp Avocado Mango Salad,3.8,4.8,Salads
84,15.5,2.8,Blueberry Peach Salsa,0.8,7.4,Salads
77,6.8,3.3,Cilantro Crab & Corn Stuffed Peppers,5.8,2.2,Salads
112,18.7,2.5,Black Bean and Corn Salad,4.3,0.9,Salads
72,6.1,1.9,BBQ Chicken Salad,8.2,2.7,Salads
106,12.1,6.5,Creamed Corn,2.3,4.2,Salads
493,31.6,38.5,Croutons,6.6,2.8,Salads
128,2.5,8.8,Deviled Egg Salad,9.1,1.0,Salads
98,12.0,5.9,Mango Salsa,1.1,7.6,Salads
195,15.6,11.1,Mexican Beef Taco Salad,7.9,0.9,Salads
53,11.2,0.7,Spinach Ham and Pear Salad,2.4,6.5,Salads
67,9.5,3.4,Mango Strawberry Arugula Salad,1.3,6.1,Salads
23,4.8,0.2,Simple gazpacho,1.0,2.9,Salads
138,3.6,9.8,Egg Salad with Lemon and Fennel,8.3,1.5,Salads
125,14.8,7.6,Vegan Waldorf Salad,2.3,5.9,Salads
41,3.7,2.7,Korean Style Romaine,1.6,1.2,Salads
148,13.0,10.7,Sauteed Fennel with Almonds Raisins and Saffron,2.6,6.7,Salads
143,7.9,12.4,Grilled Onion Salad,1.0,3.5,Salads
120,7.9,9.1,Roasted Beet and Feta Gratin with Fresh Mint,2.8,5.7,Salads
320,8.5,32.0,Celery Root and Pecan Salad,3.2,2.1,Salads
224,2.4,15.7,Flank Steak Salad with Chimichurri Dressing,17.6,0.7,Salads
17,3.3,0.2,Cucumbers with Wasabi and Rice Vinegar,0.6,2.5,Salads
75,19.2,0.4,Mango Blueberry and Ginger Fruit Salad,0.8,14.7,Salads
221,25.1,11.5,Quinoa Salad with Hearts of Palm,4.5,6.6,Salads
252,31.0,10.4,Curried Red Lentil Kohlrabi and Couscous Salad,9.7,1.5,Salads
70,7.4,3.4,Sugar Snap Peas with Tarragon Butter,2.8,0.2,Salads
121,19.3,4.0,Apple Cranberry & Almond Slaw,4.5,14.2,Salads
85,7.8,5.3,Vegan Cauliflower Eggy Salad,3.7,2.2,Salads
54,1.8,0.6,Cherry Tomato Dill and Tuna Salad,10.6,1.3,Salads
87,4.3,2.9,Turkey & Cottage Cheese Salad,11.1,2.0,Salads
122,20.7,3.3,Cranberry Quinoa Salad,3.8,5.0,Salads
156,9.8,11.9,Baby Kale and Blackberry Salad,5.0,3.8,Salads
86,8.0,5.8,Nutribullet Veggie Cobb,2.0,2.6,Salads
103,9.0,7.5,Herb roasted carrots with mustard,1.0,4.3,Salads
103,4.5,8.9,Spinach Sautee With Brown Butter & Garlic,3.4,0.6,Salads
74,4.6,6.0,Easy Spinach and Scallion Salad,2.2,1.0,Salads
83,6.5,3.7,Tuna and Ranch Garden Salad,6.4,2.1,Salads
11,1.9,0.2,Boiled Kale,0.9,0.5,Salads
105,13.1,5.4,Beetroot Salad with Pomegranate and Pistacio,2.5,10.0,Salads
28,5.6,0.1,Dutch Cucumber Salad,0.5,4.5,Salads
196,5.2,19.4,nute Quick Boiled Spinach,2.3,0.6,Salads
52,3.7,4.0,Cool Summer Cucumber and Tomato Toss,0.7,2.6,Salads
159,7.6,14.4,Green Beans with Crisp Shallots Chile and Mint,1.7,3.4,Salads
88,1.7,2.5,Cheesy Chicken and Spinach,14.0,1.0,Salads
79,4.2,3.9,Salmon Beet Salad,7.3,2.6,Salads
164,3.0,12.6,Egg Salad,9.3,1.1,Salads
103,3.9,9.4,Lemon Parmesan Salad,2.1,1.1,Salads
66,4.4,5.2,Arugula Salad,1.2,3.1,Salads
152,9.5,12.3,Squash and Spinach Salad with Almond Dressing,3.5,1.8,Salads
206,4.5,16.5,Chicken and Watercress Salad with Almonds and Feta,10.0,3.3,Salads
72,3.4,6.0,Zucchini Carpaccio Salad,2.2,2.2,Salads
122,8.5,9.5,Celery Root Pure with Truffle Butter,1.4,1.2,Salads
56,4.3,3.3,Zucchini for Lunch,2.7,2.8,Salads
142,4.9,13.0,Lacinato Kale and Ricotta Salata Salad,3.2,0.4,Salads
111,11.6,7.1,Swiss Chard with Raisins and Almonds,2.4,6.9,Salads
203,4.1,17.4,Spanish Anchovy Fennel and Preserved Lemon Salad,8.6,1.4,Salads
119,7.8,9.2,Braised Swiss Chard with Currants and Feta,2.8,5.6,Salads
35,3.4,2.3,Minted Green Salad,1.0,1.6,Salads
108,9.7,7.8,Mango Salad,0.8,7.9,Salads
36,3.3,2.4,Endive with Walnut Vinaigrette,1.2,0.2,Salads
127,5.4,12.0,Napa Cabbage Tomato and Avocado Salad,1.2,1.9,Salads
56,5.9,3.2,Fennel Tomato and Feta Salad,1.9,3.4,Salads
395,3.2,42.7,Collard Green and Radish Slaw with Crispy Shallots,0.9,1.1,Salads
161,11.2,11.3,Spicy Green Salad with Manchego and Pears,4.9,6.5,Salads
120,9.7,8.7,Beet and Carrot Salad with Coriander and Sesame Salt,1.8,4.9,Salads
104,4.2,8.2,Romaine Salad with Bacon and Hard Boiled Eggs,3.8,1.8,Salads
80,3.2,5.9,Iceberg and Watercress Salad with Blue Cheese Dressing,4.0,1.3,Salads
62,4.3,4.9,Fattoush Salad,1.4,1.8,Salads
273,16.5,19.7,Arugula Salad with Lemon and Parmesan,8.3,1.3,Salads
44,3.1,3.4,Zucchini Ribbons with Tarragon,1.2,2.4,Salads
71,4.9,5.6,Grilled Zucchini Pepper Salad,1.1,4.0,Salads
169,17.1,11.2,Dandelion Greens with Hot Olive Oil Dressing,3.3,7.6,Salads
51,2.8,4.2,Zucchini with Vinegar and Mint,1.1,2.2,Salads
100,4.8,8.8,Roasted Red Peppers and Cauliflower with Caper Vinaigrette,1.5,2.3,Salads
109,16.1,4.4,Warm New Potato Salad with Grainy Mustard,2.0,0.9,Salads
173,5.4,16.0,Spinach Salad with Grilled Eggplant and Feta,3.9,2.5,Salads
101,8.3,7.0,East West Slaw,3.1,3.8,Salads
72,10.2,3.8,Avocado Citrus Salad with Mint,1.1,6.6,Salads
69,4.0,3.9,Cucumber Avocado Salad with Tuna,5.7,1.0,Salads
105,5.3,7.5,Zesty Kale Cucumber Salad,5.6,1.6,Salads
38,8.9,0.2,Fresh Jicama Salad,0.8,1.8,Salads
